power_of_2,bytes,h2d_bandwidth_GBps,d2h_bandwidth_GBps
0,1,0.0001658811,0.0001601664
1,2,0.0003307629,0.0003257284
2,4,0.0006451032,0.0006389425
3,8,0.0013091406,0.0012837329
4,16,0.0026339798,0.0025955147
5,32,0.0053251908,0.0051318195
6,64,0.0102851750,0.0104502086
7,128,0.0206868639,0.0206433031
8,256,0.0397237176,0.0410500311
9,512,0.0819826185,0.0829593681
10,1024,0.1633899326,0.1639832852
11,2048,0.2928687288,0.3323926276
12,4096,0.5427485277,0.6585784995
13,8192,0.8906850419,1.2413754712
14,16384,1.3727068557,2.2217740102
15,32768,3.1528508884,3.7869766465
16,65536,4.9063632081,5.7875610167
17,131072,6.8239011670,7.7083277190
18,262144,8.5469051064,9.5374584145
19,524288,9.7069790999,10.6841541786
20,1048576,10.4533017121,11.3951072036
